backend,ensemble,seed_index,n_points,graph_edges,graph_components,graph_beta1,graph_mean_degree,graph_shell_mean,graph_edge_weight_mean,graph_edge_weight_q90,h1_count,h1_total_persistence,h1_max_persistence,h1_mean_persistence,h1_q90_persistence,h1_entropy,h1_birth_mean,h1_death_mean,curve_00,curve_01,curve_02,curve_03,curve_04,curve_05,curve_06,curve_07,curve_08,curve_09,curve_10,curve_11,curve_12,curve_13,curve_14,curve_15,curve_16,curve_17,curve_18,curve_19,curve_20,curve_21,curve_22,curve_23,curve_24,curve_25,curve_26,curve_27,curve_28,curve_29,curve_30,curve_31
gudhi_flag,phi,10,420,1154,1,735,5.495238095238095,2.548526863084922,0.6005304762308828,0.7681109860200818,483,170.19298237943585,0.5865756777971143,0.3523664231458299,0.5865756777971141,6.040731043171201,0.6293849422294822,0.981751365375312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4259319664633074,3.9511086908595083,6.476285415255694,9.001462139651878,12.078940837572894,16.45041927334067,22.000258228057568,26.78374034942068,35.59120501804483,45.63311227324989,55.38170022149469,59.34887143598005,63.4411738541192,64.0145332680755,62.00568192588277
gudhi_flag,phi,11,420,1173,1,754,5.585714285714285,2.536231884057971,0.6010978080162458,0.8121445136871149,485,170.18462304298797,0.590285757176876,0.3508961299855422,0.5902857571768758,6.032651388593164,0.6252905701049197,0.9761867000904619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9480554197957998,4.58696442908237,7.22587343836893,9.86478244765551,13.370446777414216,18.333025657257792,24.168533866557553,29.562154015600104,39.227694883376294,49.60635093917547,58.39828540305029,61.995053071896734,64.7159544651855,63.75491050782795,58.97194930721007
gudhi_flag,phi,12,420,1172,1,753,5.580952380952381,2.535836177474403,0.601776162084441,0.8110181906406102,488,178.3223061827609,0.607252192978458,0.3654145618499199,0.6072521929784577,6.03732747521852,0.6273982891451713,0.9928128509950914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9112853822451148,4.632040725080374,7.352796067915631,10.073551410750875,13.72449633916084,18.84791011973336,24.84589958376582,30.258144318690658,39.73963814091148,49.94068282514947,59.77348768275328,64.0182994264056,67.4053552117134,67.39244059803588,65.09687379155946
gudhi_flag,phi,13,420,1186,1,767,5.647619047619048,2.5379426644182126,0.600859143005677,0.8095040636277893,492,180.26676581017287,0.6049057117423262,0.36639586546783104,0.6049057117423258,6.045793623201039,0.6240484700786182,0.990444335546449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.221526585639216,3.959987709307928,6.698448832976631,9.436909956645312,12.630327368911813,17.28478203963211,23.50855732069728,28.427598843995682,37.12297550670465,47.48016718781702,57.48555070937756,63.77850749398828,67.5553460632166,68.82491396654147,67.85793680526938
gudhi_flag,phi,14,420,1183,1,764,5.633333333333334,2.534234995773457,0.6022360109901543,0.8065202789205103,490,166.14953454739504,0.5849651206241736,0.3390806827497858,0.5849651206241734,6.032930566043701,0.6283535572998139,0.9674342400496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7500421004279665,4.288830637465415,6.827619174502889,9.366407711540335,12.718914559371472,17.469672711755813,23.184741102402178,28.281612418967054,37.55185277581953,47.394865687703394,55.624720751548345,59.00167752216424,61.75769529469839,61.46609689451842,57.304560704871975
gudhi_flag,phi,15,420,1168,1,749,5.561904761904762,2.529109589041096,0.6005764273451529,0.8151073844294869,495,181.49788225089756,0.6111388194100589,0.3666623883856516,0.6111388194100587,6.0479706815419565,0.625794246326219,0.9924566347118706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.068872825742817,4.8866261360744945,7.7043794464061515,10.522132756737848,14.267727506948304,19.53942346246673,25.709092056370988,31.440323788043198,41.450755746726315,52.06900448319592,62.172178435351285,65.9728825996583,68.60849558108788,68.28373348357249,65.65498302160215
gudhi_flag,phi,16,420,1173,1,754,5.585714285714285,2.5515771526001707,0.6001318267469562,0.8039253469973677,502,178.53150450307578,0.5895320626912992,0.35564044721728244,0.589532062691299,6.078628147961336,0.6277922077422882,0.9834326549595706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9347262131982947,4.658752163291847,7.382778113385408,10.106804063478954,13.703313701720255,18.74299944942775,24.704480104358147,30.55950229985294,40.63801805709681,51.344131327317854,60.51171204605638,64.49117038556557,67.56496683361678,67.17317859305572,62.42349907075357
gudhi_flag,phi,17,420,1166,1,747,5.552380952380952,2.539451114922813,0.5989480444206736,0.8030548816386294,476,168.61854961712163,0.6009778510025376,0.3542406504561379,0.6009778510025374,6.006282348531913,0.6259328952567962,0.9801735457129342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.687466446051993,4.1319748633634585,6.576483280674935,9.020991697986434,12.247110256827442,16.858480925202848,22.46093980293593,27.352627346221517,36.36305706363088,46.02605818216528,55.27840352733067,59.516058540008366,62.774132619628745,63.312192630679256,61.51999235936025
gudhi_flag,phi,18,420,1172,1,753,5.580952380952381,2.5332764505119454,0.6004516416868401,0.8054260606089773,471,162.30217714935355,0.5849431496343218,0.34459060965892474,0.5849431496343215,5.997108287501511,0.6241893928134312,0.9687800024723556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7844279862716148,4.26295258086521,6.741477175458811,9.220001770052404,12.476941572025616,17.107770757327643,22.666510872736954,27.780632116901497,36.95814475332626,46.839806107611,55.33615036867416,58.954822395916146,61.54657439525053,60.754525424080285,56.36801748425851
gudhi_flag,phi,19,420,1173,1,754,5.585714285714285,2.5302642796248933,0.6007029856242325,0.8028478110087418,478,169.2015449858165,0.5999620851153808,0.35397812758539016,0.5999620851153807,6.0064666287818795,0.6259325469948499,0.97991067458024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6604287917546028,4.188852133065629,6.717275474376651,9.245698815687687,12.590408718328224,17.301448355495417,22.98337253678436,27.8461685208001,36.755003304296466,46.33639339335661,55.53182676899238,59.87933579034966,63.327414252022514,63.67342516711289,61.718230250460884
gudhi_flag,phi,20,420,1153,1,734,5.4904761904761905,2.5394622723330444,0.5986075203968786,0.8054037071084157,475,164.99107037692804,0.5851180465600485,0.3473496218461643,0.5851180465600481,6.014944214349974,0.6272888776629122,0.9746384995090767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7827356538774835,4.233075255610666,6.6834148573438386,9.13375445907704,12.375208352431075,16.997794569306343,22.514150574942516,27.482933682204656,36.385597133530304,45.92657787432182,54.090426453730174,58.19666822569413,61.770300094303884,62.17384003688683,58.46796261760086
gudhi_flag,phi,21,420,1179,1,760,5.614285714285714,2.547921967769296,0.6009358556092783,0.8112865425999682,488,178.24730124894498,0.6080522125953587,0.3652608632150512,0.6080522125953585,6.037087129584052,0.625931112994748,0.9911919762097987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4682244623539351,4.212903971523559,6.957583480693186,9.702262989862803,12.876959098949724,17.398606798998493,23.331550384476355,28.054803877761035,36.70064117513362,47.12032656222915,57.28061703868373,63.26164717839453,66.54745033961989,67.36379638434545,66.57097458172592
gudhi_flag,phi,22,420,1187,1,768,5.652380952380953,2.5332771693344567,0.6055938472210105,0.8095311092336017,485,174.33043390068653,0.6059691370707133,0.35944419360966295,0.605969137070713,6.030798971460111,0.6289929104284913,0.9884371040381541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7342328143362848,4.22625537432178,6.718277934307258,9.210300494292756,12.575029667752286,17.35154211130569,23.01135144389874,28.283871882000263,37.7709098790275,47.85095411583588,57.38652141544287,61.59866324459561,65.12577811992554,65.69213151031794,63.868078418923986
gudhi_flag,phi,23,420,1195,1,776,5.690476190476191,2.5238493723849373,0.6021851715963727,0.800348948282378,474,167.90439770512162,0.5965395823459494,0.3542286871416068,0.5965395823459492,5.998665645025426,0.6213629047516636,0.97559159189327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5693196171843602,4.202998159485745,6.836676701787124,9.470355244088507,12.943979572828095,17.782197347199265,23.688991823771516,28.647419405083017,37.64792373397442,47.28012505347892,56.446662846424736,60.3817644757656,63.10618551949744,62.7736446728342,60.39062939485154
